company_id;id;name;external_id;currency_code;balance;blocked_amount;available_amount;status;created_at;updated_at
5fdf928e-0074-43ae-8237-850d35d011d1;08cb7751-a986-4304-afbb-7aa9cea2c92d;impact stunning;URE202401001A;EUR;15000.00;5000.00;10000.00;Active;2025-04-23T00:06:28;2025-04-22T21:54:44
40ad3604-acda-4738-aae8-79752b63e6f5;3109341d-ad28-492a-a1c1-35f2866fc773;joy;URE202401002B;EUR;20000.00;8000.00;12000.00;Active;2025-04-22T17:31:21;2025-04-22T22:12:02
9fb33462-a549-4efd-b24a-e644267fa380;85f3d348-7b9b-44be-b1f9-1c3153dde229;why;URE202401003C;EUR;25000.00;10000.00;15000.00;Active;2025-04-22T13:48:49;2025-04-22T18:42:01
d0b38cad-128e-4989-9997-0345e5ae8991;6ebbff96-2d42-443c-9a80-4f3e439f31cd;ah;URE202401004D;EUR;18000.00;6000.00;12000.00;Blocked;2025-04-23T00:08:36;2025-04-23T07:08:10
ce14410c-b257-4bd6-9e1f-6c87c8323c77;cb08cb27-a22b-4e35-aff2-d49a2cbc3853;er gum overdub;URE202401005E;EUR;22000.00;9000.00;13000.00;Closing;2025-04-23T03:33:56;2025-04-23T10:24:48
12490127-37ff-4494-b72e-dec48b89feb8;8c937576-1cb1-4cd0-b9e8-b4bd979eb722;inasmuch;URE202401006F;EUR;30000.00;12000.00;18000.00;Closed;2025-04-23T02:03:25;2025-04-22T12:59:10
b5471155-26c8-40df-91ad-9d069688b583;5a3e6867-dda9-424d-8138-94db1acc3a33;presell yowza than;URE202401007G;EUR;28000.00;11000.00;17000.00;Blocked;2025-04-22T14:04:13;2025-04-22T14:13:17
44246776-7884-4e66-86f9-dcd55444e6b8;de495b38-ef97-4dc6-9fba-bcf92bf815f6;until unfinished;URE202401008H;EUR;35000.00;14000.00;21000.00;Active;2025-04-23T08:44:22;2025-04-22T12:45:06
e14ad1a6-1313-40a5-ad9f-62c3732347e3;a5e2e943-325c-472d-a6fd-0e063817ed0c;um;URE202401009I;EUR;27000.00;10000.00;17000.00;Closed;2025-04-22T21:05:44;2025-04-22T17:45:42
5c0db1d2-c488-4b0b-9bac-774a90c4c029;e784150e-4193-48d9-89cd-7a2e0ccb7c9a;drat;URE202401010J;EUR;32000.00;13000.00;19000.00;Active;2025-04-22T22:09:20;2025-04-23T04:38:42
